gradient_agent,single_agent,replicate,nreplicates,ic50_bound,ic50,slope,top,bottom,metric
Metformin,seed-4000,average,6,lower,44.26079768888228,0.9044924547445595,1.2534017816484924,0,conf
Metformin,seed-2000,average,6,lower,24.435298116665315,0.7692806447574334,1.2911537025338096,0,conf
Metformin,seed-200,average,6,interpolated,3.5730897113802764,1.0213134173645217,1.0590057330005032,0,conf
Metformin,seed-1000,average,6,interpolated,10.54867126946027,0.7621366352337979,1.2928737756917694,0,conf
Metformin,seed-500,average,6,interpolated,5.209723857965257,1.0516928880636816,1.2160086746632448,0,conf
Metformin,seed-4000,average,6,lower,31.95485788864235,0.9633419693964898,1.2155741148050003,0,count
Metformin,seed-2000,average,6,lower,15.592010001982867,0.9018550737153496,1.2260654137253493,0,count
Metformin,seed-200,average,6,interpolated,2.6857230066037032,1.429256378991965,1.1385517732980213,0,count
Metformin,seed-1000,average,6,interpolated,7.896942296983805,0.9121229333608101,1.2271519327109304,0,count
Metformin,seed-500,average,6,interpolated,5.318235758185397,0.9927461750805032,1.2028379675594199,0,count
Metformin,seed-4000,average,6,lower,32.00851269337575,0.9061533984906495,1.470234692609826,0,sur_count
Metformin,seed-2000,average,6,lower,16.88017905481454,0.854825786475965,1.3609177424655459,0,sur_count
Metformin,seed-200,average,6,interpolated,2.9783295022134273,1.5557898836101196,1.1371385019459366,0,sur_count
Metformin,seed-1000,average,6,interpolated,10.038521120684456,0.9563918035478738,1.2554794636558961,0,sur_count
Metformin,seed-500,average,6,interpolated,4.8935506006902365,1.1623436997955736,1.2208092715037016,0,sur_count
