Vessel Name: H1299-Nuc-RFP_Rot_p3
Date Time	Elapsed	Column 1	Column 2	Column 3	Column 4	Column 5	Column 6
3/30/2022 10:40:00 PM	0	4457.406	3248.109	3560.672	3596.5	3755.438	4360.031
3/31/2022 4:40:00 AM	6	5379.734	3816.891	4160.172	4062.875	4226.813	5343.859
3/31/2022 10:40:00 AM	12	6322.516	4370.281	4693.031	4605.984	4857	6127.781
3/31/2022 4:40:00 PM	18	7270.469	4985.094	5102.953	4969.781	5543.625	6840
3/31/2022 10:40:00 PM	24	8433.578	5492.375	5384.797	5138.891	5661.5	7531.703
4/1/2022 4:40:00 AM	30	9863.141	5815.234	5436.047	5128.594	5897.172	8730.781
4/1/2022 10:40:00 AM	36	11641.2	6553.063	5692.281	5174.766	6301.984	9571.094
4/1/2022 4:40:00 PM	42	13952.06	7198.672	5984.313	5307.953	6901.516	11108.25
4/1/2022 10:40:00 PM	48	16724.14	8197.938	6476.172	5354.078	7583.031	12768.47
4/2/2022 4:40:00 AM	54	20259.69	9289.297	7004.031	5599.969	8182.547	14715.56
4/2/2022 10:40:00 AM	60	24717.55	10703.5	7639.391	5789.563	9202.234	17098.2
4/2/2022 4:40:00 PM	66	29785.14	12353.34	8377.281	5994.578	10513.84	20013.75
4/2/2022 10:40:00 PM	72	35908.28	14264.61	9207.313	6389.094	11497.72	23190.58
4/3/2022 4:40:00 AM	78	44419.17	16980.3	10160.34	6537.672	13111.77	27592.06
4/3/2022 10:40:00 AM	84	52914.73	20044.42	11671.92	6752.891	14582.31	32352.31
4/3/2022 4:40:00 PM	90	64479.53	23636.36	13203.89	7044.953	16457.72	38567.66
4/3/2022 10:40:00 PM	96	78862.59	28432.36	14674.53	7485.672	18748.19	45433.8
4/4/2022 4:40:00 AM	102	93429.98	34284	16488.44	8274.734	21463.84	52166.67
4/4/2022 10:40:00 AM	108	113249.5	40878.56	19362.98	8771.75	24845.66	61702.33
4/4/2022 4:40:00 PM	114	135308.3	49081.97	22350.23	9622.359	28442.64	73256.94
4/4/2022 10:40:00 PM	120	154574.4	58756.13	25506.61	10524.2	32526.5	85298.23
4/5/2022 4:40:00 AM	126	177258.2	71432.83	30189.94	11764.13	37127.78	97775.09
4/5/2022 10:40:00 AM	132	199301.5	85124	34985.95	13234.75	42456.7	113444.2
4/5/2022 4:40:00 PM	138	215949.3	101044.2	41683.08	14879.53	48098.25	129390.1
4/5/2022 10:40:00 PM	144	224409	119531.5	48923.17	16360.41	53340.08	146519.5
4/6/2022 4:40:00 AM	150	225623.4	138469.7	58494.73	18655.89	60257.36	163320.9
4/6/2022 10:40:00 AM	156	217266.2	158776	69726.48	20633.7	66472.78	179492.2
4/6/2022 4:40:00 PM	162	203441.7	177273.6	82346.83	23621.05	74040.88	190846.9
4/6/2022 10:40:00 PM	168	196037.6	197047	96904.06	26536.52	80415.11	198184.5
4/7/2022 4:40:00 AM	174	194725.8	215985.1	113669.7	31004.64	87624.58	200116.1
4/7/2022 10:40:00 AM	180	200756.8	234334.1	130722.2	35544.48	92758.77	201007.8
