Compound	Hypoxanthine (uM)	Isotopologue	Ratio
ATP	0	De novo	98.82238787
ATP	20	De novo	86.91720865
ATP	100	De novo	0.398707956
ATP	0	Salvage	0.054070786
ATP	20	Salvage	11.80500058
ATP	100	Salvage	98.70991703
ATP	0	Other	1.123541344
ATP	20	Other	1.277790774
ATP	100	Other	0.891375016
GTP	0	De novo	98.84267036
GTP	20	De novo	78.84919424
GTP	100	De novo	0
GTP	0	Salvage	0
GTP	20	Salvage	20.56943944
GTP	100	Salvage	100
GTP	0	Other	1.157329644
GTP	20	Other	0.581366322
GTP	100	Other	0
