Vessel Name: H1299_Nuc-RFP-60nM-Rot_rescue_p2
Date Time	Elapsed	Column 1	Column 3	Column 4	Column 5	Column 6
4/8/2022 12:20:00 AM	0	5528.266	6368.578	6102.156	5948.422	5886.953
4/8/2022 6:20:00 AM	6	6122.672	7214.031	6711.891	6763.188	6399.391
4/8/2022 12:20:00 PM	12	6834.875	8095.359	7859.703	7752.125	7065.453
4/8/2022 6:20:00 PM	18	7419.016	8525.781	8484.797	8664.172	7506.094
4/9/2022 12:20:00 AM	24	7705.984	9355.875	8956.188	9330.297	7690.578
4/9/2022 6:20:00 AM	30	8167.156	9893.938	9514.688	10247.41	7997.984
4/9/2022 12:20:00 PM	36	8356.672	10385.83	9632.594	11113.41	7987.719
4/9/2022 6:20:00 PM	42	8894.719	11359.36	10242.31	12333	7921.109
4/10/2022 12:20:00 AM	48	9263.641	11774.41	10575.36	13398.67	8172.219
4/10/2022 6:20:00 AM	54	9463.5	12640.39	11169.72	15443.19	8761.516
4/10/2022 12:20:00 PM	60	10001.53	13685.58	11723.16	17169.95	9442.969
4/10/2022 6:20:00 PM	66	10739.38	14689.94	12337.95	18722.45	10252.58
4/11/2022 12:20:00 AM	72	11579.67	15965.83	13388.44	20936.05	10780.31
4/11/2022 6:20:00 AM	78	12537.84	17692.58	14121.2	23308.41	12256.03
4/11/2022 12:20:00 PM	84	13245	19250.2	15330.41	25978.02	13562.67
4/11/2022 6:20:00 PM	90	14495.22	21612.3	16759.97	29134.44	15192.11
4/12/2022 12:20:00 AM	96	15894	24461.28	18466.23	32849.27	16637
4/12/2022 6:20:00 AM	102	17723.33	27653.55	20889.91	37348.17	18558.5
4/12/2022 12:20:00 PM	108	19644.78	32193.45	23754.22	41426.84	21156.41
4/12/2022 6:20:00 PM	114	21704.64	36600.06	26654.42	46643.03	23708.06
4/13/2022 12:20:00 AM	120	24712.39	42123.67	30092.66	52392.13	27489.58
4/13/2022 6:20:00 AM	126	28160.86	50588.45	33991.92	59965.31	32669.88
4/13/2022 12:20:00 PM	132	31855.23	58218.08	39464.39	68091.97	37537.67
4/13/2022 6:20:00 PM	138	36205.47	66160.22	45054.56	78611.52	43712.13
4/14/2022 12:20:00 AM	144	41867.45	76905.2	52248.69	89325.69	52115.41
4/14/2022 6:20:00 AM	150	48103.3	89725.41	61671.61	101838.5	60390.63
4/14/2022 12:20:00 PM	156	55015.55	101561.8	69859.73	115468.2	69941.72
