Vessel Name: H1299_Nuc-RFP-60nM-Rot_rescue_p1
Date Time	Elapsed	Column 1	Column 3	Column 4	Column 5	Column 6
4/8/2022 12:00:00 AM	0	5061.953	4360	4544.484	4529.063	4728.922
4/8/2022 6:00:00 AM	6	5830.641	5005.641	5097.906	5185.016	5446.266
4/8/2022 12:00:00 PM	12	6312.281	5769.094	5840.828	6050.938	5810.078
4/8/2022 6:00:00 PM	18	6696.609	6337.844	6394.203	6573.578	6286.641
4/9/2022 12:00:00 AM	24	7019.344	6778.531	6845.188	6993.703	6394.266
4/9/2022 6:00:00 AM	30	7388.344	7101.297	6993.75	7531.688	6717.031
4/9/2022 12:00:00 PM	36	7685.5	7803.344	7234.594	8274.703	6793.828
4/9/2022 6:00:00 PM	42	7992.891	8208.109	7593.281	8879.344	6911.688
4/10/2022 12:00:00 AM	48	8423.359	8725.672	7808.422	10032.25	7121.813
4/10/2022 6:00:00 AM	54	8525.813	8935.75	8141.484	11046.8	7347.266
4/10/2022 12:00:00 PM	60	9012.594	9514.75	8505.297	11989.56	7808.516
4/10/2022 6:00:00 PM	66	9617.219	10293.55	8817.891	13306.47	8592.422
4/11/2022 12:00:00 AM	72	10549.7	11303	9381.484	14807.78	9448.125
4/11/2022 6:00:00 AM	78	11180.06	12307.27	9955.391	16529.41	10611.19
4/11/2022 12:00:00 PM	84	12056.16	13552.39	10749.58	18015.44	11420.86
4/11/2022 6:00:00 PM	90	13342.33	15028.11	11384.94	20029.11	12245.83
4/12/2022 12:00:00 AM	96	14146.75	16795.92	12133.05	21684.17	14039.16
4/12/2022 6:00:00 AM	102	15755.73	19163.17	13275.67	24579.19	15776.23
4/12/2022 12:00:00 PM	108	17134.09	21586.8	14705.31	27786.78	17339.06
4/12/2022 6:00:00 PM	114	19060.69	24604.77	16186.09	31086.63	20331.38
4/13/2022 12:00:00 AM	120	21530.39	28427.31	18333.08	34975.8	23431.39
4/13/2022 6:00:00 AM	126	24512.53	32541.81	20264.8	40294.41	27853.45
4/13/2022 12:00:00 PM	132	27633.08	37204.73	22770.48	45900.06	32198.53
4/13/2022 6:00:00 PM	138	31486.27	42979.36	25978.06	53340.02	38290.86
4/14/2022 12:00:00 AM	144	35564.94	51008.63	29539.2	61307.84	45028.97
4/14/2022 6:00:00 AM	150	40960.55	59350.41	33904.78	70105.66	52038.55
4/14/2022 12:00:00 PM	156	47391.09	68578.72	39464.31	80087.19	60733.98
