Vessel Name: H1299_Nuc-RFP-60nM-Rot_rescue_p4
Date Time	Elapsed	Column 1	Column 3	Column 4	Column 5	Column 6
4/8/2022 1:00:00 AM	0	5092.719	5687.109	5615.375	6076.547	5927.938
4/8/2022 7:00:00 AM	6	5784.484	6204.641	6460.797	6635	6742.625
4/8/2022 1:00:00 PM	12	6609.438	7173.016	7485.656	7803.313	8049.25
4/8/2022 7:00:00 PM	18	7116.719	8028.781	8290.078	8787.141	8981.844
4/9/2022 1:00:00 AM	24	7326.797	8541.141	8946	9606.953	9648.078
4/12/2022 1:06:00 PM	108.1	18604.61	29021.72	35129.42	39213.28	39044.17
4/12/2022 7:00:00 PM	114	20705.5	33289.88	39167.06	44875.2	43753.08
4/13/2022 1:00:00 AM	120	23559.56	38086.03	45023.89	51085.48	49983.88
4/13/2022 7:00:00 AM	126	26890.08	43932.48	50511.7	57526.33	57526.39
4/13/2022 7:00:00 PM	138	35293.41	58223.16	65432.56	75152.73	74958.06
4/14/2022 1:00:00 AM	144	40314.94	67999.72	73538.69	84714.16	85272.67
4/14/2022 7:00:00 AM	150	46356.03	77827.48	82987.39	96079.16	98169.64
4/14/2022 1:00:00 PM	156	53688.44	88736.42	95038.91	109386.1	111896.8
