Vessel Name: H1299_Asp-sens_MPA-Gua_Met-rescue_p2
Date Time	Elapsed	A1	B1	C1	A2	B2	C2	A3	B3	C3	A4	B4	C4
11/5/2023 9:20:00 PM	0	2.213394	2.166328	2.208551	2.316051	2.15656	2.33312	2.024586	2.078998	2.127957	1.998931	2.07492	2.068823
11/6/2023 5:20:00 AM	8	0.6791675	0.6732845	0.6803676	0.7107157	0.610853	0.7267652	0.6028767	0.6371993	0.6719843	0.6352447	0.6555183	0.6475882
11/6/2023 1:20:00 PM	16	0.4526045	0.4373943	0.4607186	0.4480999	0.383468	0.4211674	0.567153	0.5986707	0.6279433	0.4300568	0.4342401	0.4404868
11/6/2023 9:20:00 PM	24	0.4664411	0.4463345	0.4583587	0.4089036	0.354948	0.4035641	0.7735779	0.77991	0.8405918	0.5252175	0.5069656	0.5175339
11/7/2023 5:20:00 AM	32	0.5693615	0.5251937	0.5523081	0.4145646	0.38298	0.4282742	1.036116	1.004673	1.09876	0.701637	0.6628109	0.6808757
11/7/2023 1:20:00 PM	40	0.7178535	0.653277	0.687305	0.4463336	0.4214461	0.4570698	1.327625	1.245392	1.428396	1.024729	0.9170145	0.9793281
11/7/2023 9:20:00 PM	48	0.9013662	0.7893427	0.8772569	0.4649949	0.4237854	0.4599951	1.57407	1.429095	1.69468	1.37925	1.198473	1.304755
11/8/2023 5:20:00 AM	56	1.089394	0.9247873	1.055828	0.4588705	0.4110626	0.4673378	1.735473	1.530359	1.859332	1.658861	1.367821	1.609498
11/8/2023 1:20:00 PM	64	1.249601	1.057755	1.232497	0.4687845	0.3909357	0.4807121	1.832046	1.604992	2.010404	1.856208	1.50076	1.819398
11/8/2023 9:20:00 PM	72	1.308873	1.139742	1.306912	0.4561242	0.377453	0.4933854	1.948115	1.662965	2.061966	1.99021	1.578095	1.979072
11/9/2023 5:20:00 AM	80	1.333094	1.166444	1.341683	0.4729094	0.3763392	0.4979378	2.041744	1.725122	2.211589	2.043202	1.634681	2.043235
11/9/2023 1:20:00 PM	88	1.378671	1.16813	1.456435	0.480077	0.3804685	0.5248284	2.260541	1.844235	2.405838	2.061016	1.713667	2.074058
11/9/2023 9:20:00 PM	96	1.501695	1.217987	1.579052	0.5065863	0.3964846	0.5577605	2.564721	2.017397	2.708199	1.979828	1.690905	2.036817
11/10/2023 5:20:00 AM	104	1.547087	1.226695	1.591065	0.5029644	0.3878407	0.5710776	2.791849	2.108182	2.849683	1.7659	1.525781	1.833354
11/10/2023 11:00:00 AM	109.666666666667	1.51784	1.252404	1.692419	0.5134092	0.3841761	0.5886773	2.787273	2.148085	2.990932	1.499454	1.296653	1.566837
